"Doctor","11/1/24","11/2/24","11/4/24","11/5/24","11/6/24","11/7/24","11/8/24","11/9/24","11/11/24","11/12/24","11/13/24","11/14/24","11/15/24","11/16/24","11/18/24","11/19/24","11/20/24","11/21/24","11/22/24","11/23/24","11/25/24","11/26/24","11/27/24","11/28/24","11/29/24","11/30/24","12/2/24","12/3/24","12/4/24","12/5/24","12/6/24","12/7/24","12/9/24","12/10/24","12/11/24","12/12/24","12/13/24","12/14/24","12/16/24","12/17/24","12/18/24","12/19/24","12/20/24","12/21/24","12/23/24","12/24/24","12/25/24","12/26/24","12/27/24","12/28/24","12/30/24","12/31/24","1/1/25","1/2/25","1/3/25","1/4/25","1/6/25","1/7/25","1/8/25","1/9/25","1/10/25","1/11/25","1/13/25","1/14/25","1/15/25","1/16/25","1/17/25","1/18/25","1/20/25","1/21/25","1/22/25","1/23/25","1/24/25","1/25/25","1/27/25","1/28/25","1/29/25","1/30/25","1/31/25","Sum"
"ANDROLOGIST","0","1","5","6","7","4","9","11","10","0","6","1","3","10","2","6","8","9","7","0","4","6","1","4","0","1","5","2","7","8","10","2","2","1","8","9","0","11","1","7","9","11","9","10","4","10","1","11","7","10","6","8","6","9","1","1","3","2","11","3","12","4","2","10","8","6","7","9","3","12","12","8","2","8","1","0","3","6","11","450"
"NUTRITIONIST","10","11","6","5","5","17","1","12","8","6","10","7","12","13","6","4","8","13","3","9","9","10","2","10","13","3","3","14","3","12","7","4","12","6","7","5","8","2","6","14","4","9","5","11","2","14","6","3","1","2","7","5","12","6","4","9","10","2","2","1","10","9","7","12","11","8","12","3","2","4","1","8","13","1","2","6","13","4","7","564"
"PROCTOLOGIST","0","1","4","6","0","6","4","5","3","3","3","4","1","0","2","4","1","4","6","1","4","3","5","1","4","5","6","4","3","4","5","3","0","5","4","4","1","4","2","4","1","4","6","0","6","2","5","5","3","4","5","2","2","4","5","4","5","3","5","1","3","0","2","2","2","4","2","3","1","2","1","0","4","4","4","3","2","5","3","248"
"OTOLARYNOLOGIST","12","1","9","10","10","15","14","15","19","21","18","27","0","5","0","16","23","6","23","2","24","9","3","12","7","7","8","20","14","8","15","18","7","10","3","5","17","5","13","18","3","14","7","24","12","20","14","1","16","24","15","21","22","6","5","15","10","21","23","9","6","20","7","21","11","17","2","16","11","15","4","19","22","5","2","1","16","15","14","975"
"OPHTALMIC_SURGEON","8","14","22","18","36","5","25","15","15","26","25","36","5","4","26","21","10","3","3","32","7","12","8","13","3","19","2","29","8","20","32","24","19","12","12","24","36","24","20","26","17","2","20","35","6","25","7","19","3","16","27","13","24","29","34","8","14","6","36","34","20","30","19","23","3","27","5","30","28","26","1","11","10","13","3","34","20","11","14","1402"
"DERMATOVENEROLOGIST","5","7","6","11","6","11","10","2","11","1","9","4","10","10","9","9","4","1","5","2","8","4","11","7","10","2","10","11","6","7","9","2","6","5","2","4","1","0","2","11","6","11","5","4","6","5","1","7","3","7","8","2","1","9","5","1","10","1","8","11","3","2","1","4","1","8","1","6","12","9","7","4","7","6","5","2","10","5","2","457"
"RHEUMATOLOGIST","9","10","20","17","18","0","10","11","0","6","18","3","13","5","0","6","22","19","23","12","3","13","11","20","2","12","4","8","17","11","9","9","11","19","21","23","19","7","16","10","6","20","1","21","11","15","16","21","15","15","2","12","4","17","12","16","1","2","17","2","2","0","23","17","8","7","8","18","16","4","4","2","16","18","6","0","2","23","7","874"
"PHLEBOLOGIST","8","7","4","2","1","6","8","7","6","0","8","8","3","10","6","6","8","9","7","1","4","10","2","4","5","5","6","10","3","1","2","9","7","3","9","9","9","10","3","8","5","9","8","8","7","2","6","10","10","0","2","1","8","9","2","5","9","8","6","6","5","3","6","7","9","7","8","2","5","0","3","8","10","1","4","8","2","6","8","457"
"NEPHROLOGIST","8","2","5","10","7","0","10","0","10","3","12","5","4","2","4","11","12","5","6","9","11","8","5","5","9","0","8","5","10","1","7","6","8","1","7","7","7","8","9","10","3","11","6","1","1","4","10","9","10","7","6","2","4","6","1","3","8","9","13","12","8","5","8","10","2","5","11","5","7","7","2","5","4","0","0","11","3","7","4","487"
"HEMATOLOGIST","9","4","6","13","12","3","12","7","7","2","1","11","7","6","11","11","2","9","2","11","10","14","1","1","4","4","4","13","4","4","11","7","11","1","7","0","1","13","2","8","6","5","13","0","10","14","8","14","1","6","4","11","14","4","10","3","8","7","14","9","5","2","2","3","4","12","8","8","2","13","11","1","10","8","1","7","7","2","14","547"
"REPRODUCTOLOGIST","20","15","11","10","15","13","1","12","19","11","1","18","5","6","4","8","18","12","5","20","20","20","6","10","22","18","1","2","11","21","12","12","2","15","19","9","18","22","5","12","7","18","13","15","18","9","21","12","4","16","18","7","20","21","6","23","3","5","4","21","15","4","10","14","2","20","19","12","22","10","23","15","15","4","20","10","4","0","13","974"
"ALLERGOLOGIST","13","17","22","2","18","5","21","20","13","17","8","11","20","11","9","12","20","8","4","17","20","2","6","3","8","11","18","16","15","9","20","11","22","15","3","16","8","17","2","4","21","5","20","7","16","17","12","7","5","1","7","16","23","21","19","19","16","6","22","16","14","3","11","11","21","13","9","24","3","10","1","18","22","7","21","7","22","18","19","1024"
"ALLERGOLOGIST_PULMONOLOGIST","10","10","2","8","10","5","5","7","0","6","4","6","2","17","11","13","15","9","2","10","11","14","8","2","5","7","12","11","7","21","11","4","2","3","5","3","4","5","3","17","2","10","8","18","2","7","18","16","15","5","3","13","17","10","11","5","14","4","6","8","10","5","2","11","5","11","3","9","10","1","6","3","1","19","6","15","5","13","14","648"
"OSTEOPATH","8","6","15","0","0","6","1","3","10","23","16","14","8","26","11","2","17","3","10","14","25","14","20","32","4","8","11","12","12","26","20","17","9","23","27","23","0","18","1","7","2","17","19","3","11","13","10","3","12","21","2","2","10","27","19","19","10","17","0","18","26","17","25","20","3","25","2","15","4","0","12","8","14","16","1","3","16","10","21","975"
"Total","29","33","22","23","36","17","28","20","25","26","28","36","23","28","28","26","29","29","23","32","25","21","20","32","28","29","24","29","19","26","32","24","27","24","28","24","36","24","27","26","22","20","25","35","29","25","32","24","28","25","29","30","24","29","34","25","24","29","36","34","26","30","25","23","21","27","28","30","28","30","23","19","27","20","30","34","30","25","27",""
