"Date","Day_of_the_week","Number_of_the_week","Name_of_clinic","Count_of_chekups"
"12/31/24","Tuesday","53","deFactum","30"
"12/31/24","Tuesday","53","deFactum_Kids","2"
"1/1/25","Wednesday","1","deFactum","24"
"1/1/25","Wednesday","1","deFactum_Kids","12"
"1/2/25","Thursday","1","deFactum","29"
"1/2/25","Thursday","1","deFactum_Kids","9"
"1/3/25","Friday","1","deFactum","34"
"1/3/25","Friday","1","deFactum_Kids","17"
"1/4/25","Saturday","1","deFactum","25"
"1/4/25","Saturday","1","deFactum_Kids","17"
"1/6/25","Monday","2","deFactum","24"
"1/6/25","Monday","2","deFactum_Kids","10"
"1/7/25","Tuesday","2","deFactum","29"
"1/7/25","Tuesday","2","deFactum_Kids","19"
"1/8/25","Wednesday","2","deFactum","36"
"1/8/25","Wednesday","2","deFactum_Kids","13"
"1/9/25","Thursday","2","deFactum","34"
"1/9/25","Thursday","2","deFactum_Kids","8"
"1/10/25","Friday","2","deFactum","26"
"1/10/25","Friday","2","deFactum_Kids","13"
"1/11/25","Saturday","2","deFactum","30"
"1/11/25","Saturday","2","deFactum_Kids","11"
"1/13/25","Monday","3","deFactum","25"
"1/13/25","Monday","3","deFactum_Kids","11"
"1/14/25","Tuesday","3","deFactum","23"
"1/14/25","Tuesday","3","deFactum_Kids","9"
"1/15/25","Wednesday","3","deFactum","21"
"1/15/25","Wednesday","3","deFactum_Kids","16"
"1/16/25","Thursday","3","deFactum","27"
"1/16/25","Thursday","3","deFactum_Kids","8"
"1/17/25","Friday","3","deFactum","28"
"1/17/25","Friday","3","deFactum_Kids","14"
"1/18/25","Saturday","3","deFactum","30"
"1/18/25","Saturday","3","deFactum_Kids","9"
"1/20/25","Monday","4","deFactum","28"
"1/20/25","Monday","4","deFactum_Kids","10"
"1/21/25","Tuesday","4","deFactum","30"
"1/21/25","Tuesday","4","deFactum_Kids","6"
"1/22/25","Wednesday","4","deFactum","23"
"1/22/25","Wednesday","4","deFactum_Kids","15"
"1/23/25","Thursday","4","deFactum","19"
"1/23/25","Thursday","4","deFactum_Kids","7"
"1/24/25","Friday","4","deFactum","27"
"1/24/25","Friday","4","deFactum_Kids","7"
"1/25/25","Saturday","4","deFactum","20"
"1/25/25","Saturday","4","deFactum_Kids","10"
"1/27/25","Monday","5","deFactum","30"
"1/27/25","Monday","5","deFactum_Kids","11"
"1/28/25","Tuesday","5","deFactum","34"
"1/28/25","Tuesday","5","deFactum_Kids","14"
"1/29/25","Wednesday","5","deFactum","30"
"1/29/25","Wednesday","5","deFactum_Kids","13"
"1/30/25","Thursday","5","deFactum","25"
"1/30/25","Thursday","5","deFactum_Kids","9"
"1/31/25","Friday","5","deFactum","27"
"1/31/25","Friday","5","deFactum_Kids","6"
